,paper.id,author,year,site,exp,tid,sid,soil.depth.inc,soil.depth.upper,soil.depth.lower,lat.x,long.x,continent,country,state,location,MAT,MAP,PET,climate,soil.type,per.sand,per.silt,per.clay,year.est,duration,field.history,exp.design,exp.arrangement,reps,plot.width,plot.length,tillage,tillage.details,tillage.depth,tillage.freq,crop.rotation.name,total.cropping.intensity,CC,perennial,crop.diversity,crop1.species,crop2.species,crop3.species,crop4.species,crop5.species,crop6.species,crop7.species,crop8.species,crop1.func.group,crop2.func.group,crop3.func.group,crop4.func.group,crop5.func.group,crop6.func.group,crop7.func.group,crop8.func.group,crop1.harvest,crop2.harvest,crop3.harvest,crop4.harvest,crop5.harvest,crop6.harvest,crop7.harvest,crop8.harvest,crop1.Nfert.rate,crop2.Nfert.rate,crop3.Nfert.rate,crop4.Nfert.rate,crop5.Nfert.rate,crop1.Pfert.rate,crop2.Pfert.rate,crop3.Pfert.rate,crop4.Pfert.rate,crop5.Pfert.rate,crop1.Kfert.rate,crop2.Kfert.rate,crop3.Kfert.rate,crop4.Kfert.rate,crop5.Kfert.rate,avg.Nfert.rate,avg.Pfert.rate,avg.Kfert.rate,fert.details,herbicide1,herbicide1.rate,herbicide2,herbicide2.rate,herbicide3,herbicide3.rate,herbicide.details,livestock.integration,livestock.stocking,grazing.duration,pasture.heights,livestock.details,soil.pH,density.separation,size.separation,SOC.determination.method,soil.BD,total.gC.kg.soil,total.gC.kg.soil.sd,maoc.gC.kg.soil,maoc.gC.kg.soil.sd,poc.gC.kg.soil,poc.gC.kg.soil.sd,total.MgC.ha,total.MgC.ha.sd,maoc.MgC.ha,maoc.MgC.ha.sd,poc.MgC.ha,poc.MgC.ha.sd
1,1,"A. Alhameid, M. Ibrahim, S. Kumar, P. Sexton and T. E. Schumacher",2017,1,1,1,1.1.1,1,0,7.5,43.049444,-96.891667,N. America,USA,South Dakota,Beresford,8.9,627.4,1272,temparate,Mesic Udic Haplustolls,NA,NA,NA,1991,23,experimental site,randomized complete block,NA,4,20,100,CT,moldboard plow,NA,1,corn-soybean,1,no,no,2,corn,soybean,,,,,,,grass,legume,,,,,,,G,G,,,,,,,180,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kgN/ha,,NA,,NA,,NA,,no,0,0,NA,,NA,1.6,NA,dry combustion,1.32,25.3,1.507719884,NA,NA,NA,NA,25.047,1.851956942,NA,NA,NA,NA
2,1,"A. Alhameid, M. Ibrahim, S. Kumar, P. Sexton and T. E. Schumacher",2017,1,1,2,1.1.1,1,0,7.5,43.049444,-96.891667,N. America,USA,South Dakota,Beresford,8.9,627.4,1272,temparate,Mesic Udic Haplustolls,NA,NA,NA,1991,23,experimental site,randomized complete block,NA,4,20,100,NT,no tillage,0,0,corn-soybean,1,no,no,2,corn,soybean,,,,,,,grass,legume,,,,,,,G,G,,,,,,,180,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kgN/ha,,NA,,NA,,NA,,no,0,0,NA,,NA,1.6,NA,dry combustion,1.25,27.3,1.626907227,NA,NA,NA,NA,25.59375,1.892383239,NA,NA,NA,NA
3,1,"A. Alhameid, M. Ibrahim, S. Kumar, P. Sexton and T. E. Schumacher",2017,1,1,3,1.1.1,1,0,7.5,43.049444,-96.891667,N. America,USA,South Dakota,Beresford,8.9,627.4,1272,temparate,Mesic Udic Haplustolls,NA,NA,NA,1991,23,experimental site,randomized complete block,NA,4,20,100,CT,moldboard plow,NA,1,corn-soybean-wheat,1,no,no,3,corn,soybean,wheat,,,,,,grass,legume,grass,,,,,,G,G,G,,,,,,180,0,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kgN/ha,,NA,,NA,,NA,,no,0,0,NA,,NA,1.6,NA,dry combustion,1.28,24.6,1.466004315,NA,NA,NA,NA,23.616,1.746149844,NA,NA,NA,NA
4,1,"A. Alhameid, M. Ibrahim, S. Kumar, P. Sexton and T. E. Schumacher",2017,1,1,4,1.1.1,1,0,7.5,43.049444,-96.891667,N. America,USA,South Dakota,Beresford,8.9,627.4,1272,temparate,Mesic Udic Haplustolls,NA,NA,NA,1991,23,experimental site,randomized complete block,NA,4,20,100,NT,no tillage,0,0,corn-soybean-wheat,1,no,no,3,corn,soybean,wheat,,,,,,grass,legume,grass,,,,,,G,G,G,,,,,,180,0,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kgN/ha,,NA,,NA,,NA,,no,0,0,NA,,NA,1.6,NA,dry combustion,1.24,25.4,1.513679252,NA,NA,NA,NA,23.622,1.74659348,NA,NA,NA,NA
5,1,"A. Alhameid, M. Ibrahim, S. Kumar, P. Sexton and T. E. Schumacher",2017,1,1,5,1.1.1,1,0,7.5,43.049444,-96.891667,N. America,USA,South Dakota,Beresford,8.9,627.4,1272,temparate,Mesic Udic Haplustolls,NA,NA,NA,1991,23,experimental site,randomized complete block,NA,4,20,100,CT,moldboard plow,NA,1,corn-soybean-wheat-oat,1,no,no,4,corn,soybean,wheat,oat,,,,,grass,legume,grass,grass,,,,,G,G,G,G,,,,,180,0,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kgN/ha,,NA,,NA,,NA,,no,0,0,NA,,NA,1.6,NA,dry combustion,1.25,27.3,1.626907227,NA,NA,NA,NA,25.59375,1.892383239,NA,NA,NA,NA
6,1,"A. Alhameid, M. Ibrahim, S. Kumar, P. Sexton and T. E. Schumacher",2017,1,1,6,1.1.1,1,0,7.5,43.049444,-96.891667,N. America,USA,South Dakota,Beresford,8.9,627.4,1272,temparate,Mesic Udic Haplustolls,NA,NA,NA,1991,23,experimental site,randomized complete block,NA,4,20,100,NT,no tillage,0,0,corn-soybean-wheat-oat,1,no,no,4,corn,soybean,wheat,oat,,,,,grass,legume,grass,grass,,,,,G,G,G,G,,,,,180,0,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kgN/ha,,NA,,NA,,NA,,no,0,0,NA,,NA,1.6,NA,dry combustion,1.22,29.4,1.752053937,NA,NA,NA,NA,26.901,1.989040352,NA,NA,NA,NA
7,7,"J. Alvaro-Fuentes, M. V. Lopez, C. Cantero-Martinez and J. L. Arrue",2009,1,1,1,7.1.1,1,0,5,41.733,-0.7667,Europe,Spain,Zaragoza,Penaflor,14.5,390,1699,temparate,Xerollic Calciorthid,32.4,45.5,22.2,1989,14,conventional agriculture,randomized complete block,split-plot,3,10,33,CT,"moldboard plow (30-35cm), sweep cultivator (10-15cm)",32.5,0.5,barley-fallow,0.5,no,no,1,barley,,,,,,,,grass,,,,,,,,G,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,NA,,no,0,0,NA,,8.2,1.85,NA,dry combustion,1.22,11.19951727,1.127436568,9.600481789,0.644712142,1.599035485,0.749837085,4.9,0.493274759,5.856293891,0.393274406,-0.956293891,0.364227377
8,7,"J. Alvaro-Fuentes, M. V. Lopez, C. Cantero-Martinez and J. L. Arrue",2009,1,1,1,7.1.1,2,5,10,41.733,-0.7667,Europe,Spain,Zaragoza,Penaflor,14.5,390,1699,temparate,Xerollic Calciorthid,32.4,45.5,22.2,1989,14,conventional agriculture,randomized complete block,split-plot,3,10,33,CT,"moldboard plow (30-35cm), sweep cultivator (10-15cm)",32.5,0.5,barley-fallow,0.5,no,no,1,barley,,,,,,,,grass,,,,,,,,G,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,NA,,no,0,0,NA,,8.2,1.85,NA,dry combustion,1.3,11.01717808,2.067493209,9.537789474,1.792961418,1.479388606,1.580004095,5.15,0.966453474,6.199563158,1.165424922,-1.049563158,0.87411814
9,7,"J. Alvaro-Fuentes, M. V. Lopez, C. Cantero-Martinez and J. L. Arrue",2009,1,1,1,7.1.1,3,10,20,41.733,-0.7667,Europe,Spain,Zaragoza,Penaflor,14.5,390,1699,temparate,Xerollic Calciorthid,32.4,45.5,22.2,1989,14,conventional agriculture,randomized complete block,split-plot,3,10,33,CT,"moldboard plow (30-35cm), sweep cultivator (10-15cm)",32.5,0.5,barley-fallow,0.5,no,no,1,barley,,,,,,,,grass,,,,,,,,G,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,NA,,no,0,0,NA,,8.2,1.85,NA,dry combustion,1.34,10.13915805,2.0558863,8.8499654,2.009424227,1.289192647,1.659764462,10.16,2.06011236,11.85895364,2.692628465,-1.698953636,1.95740568
10,7,"J. Alvaro-Fuentes, M. V. Lopez, C. Cantero-Martinez and J. L. Arrue",2009,1,1,2,7.1.1,1,0,5,41.733,-0.7667,Europe,Spain,Zaragoza,Penaflor,14.5,390,1699,temparate,Xerollic Calciorthid,32.4,45.5,22.2,1989,14,conventional agriculture,randomized complete block,split-plot,3,10,33,RT,"chisel plow (25-30cm), sweep cultivator (10-15cm)",27.5,0.5,barley-fallow,0.5,no,no,1,barley,,,,,,,,grass,,,,,,,,G,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,,NA,,NA,,no,0,0,NA,,8.2,1.85,NA,dry combustion,1.19,8.495886726,0.872433254,9.320223827,0.689706511,-0.824337102,0.642089,5.15,0.52884783,5.545533177,0.410375374,-0.395533177,0.386474654
